@relation 'BreastCancerAll-weka.filters.unsupervised.attribute.Remove-V-R302,1195,1441,1471,1673,1966,1975,2007,2019,2054,2139,2170,2630,3150,3211,3401,3435,3593,3659,4322,4553,4629,4757,4795,5271,6437,6785,6851,6859,6911,7022,7213,7317,7345,7347,7754,8607,8797,8905,8913,8917,9589,9593-9595,9597-9598,9601-9603,9605,9725,9945,10674,11613,11969,11987,12034,12038,12181'

@attribute 302_chrom1_reg44816452-46047207_probnorm numeric
@attribute 1195_chrom2_reg15573647-20346474_probgain numeric
@attribute 1441_chrom2_reg126478953-126745976_probloss numeric
@attribute 1471_chrom2_reg131945577-132042781_probgain numeric
@attribute 1673_chrom3_reg12735694-14873985_probloss numeric
@attribute 1966_chrom3_reg128485208-128664764_probnorm numeric
@attribute 1975_chrom3_reg130189196-130206126_probgain numeric
@attribute 2007_chrom3_reg143686906-144718154_probgain numeric
@attribute 2019_chrom3_reg156981865-159692979_probgain numeric
@attribute 2054_chrom3_reg166639991-168786545_probnorm numeric
@attribute 2139_chrom3_reg196908262-196937230_probgain numeric
@attribute 2170_chrom4_reg833085-843614_probnorm numeric
@attribute 2630_chrom4_reg187735989-188875290_probnorm numeric
@attribute 3150_chrom6_reg1292057-1353261_probnorm numeric
@attribute 3211_chrom6_reg18550170-18661357_probgain numeric
@attribute 3401_chrom6_reg62843325-63283741_probloss numeric
@attribute 3435_chrom6_reg69133049-69809498_probgain numeric
@attribute 3593_chrom6_reg110630205-111025278_probloss numeric
@attribute 3659_chrom6_reg128962975-130409779_probgain numeric
@attribute 4322_chrom8_reg184617-320897_probnorm numeric
@attribute 4553_chrom8_reg32812909-32947324_probloss numeric
@attribute 4629_chrom8_reg36779836-36973293_probloss numeric
@attribute 4757_chrom8_reg42014398-42175380_probloss numeric
@attribute 4795_chrom8_reg43264404-43385428_probgain numeric
@attribute 5271_chrom9_reg7319454-7723767_probgain numeric
@attribute 6437_chrom11_reg59634380-59984619_probloss numeric
@attribute 6785_chrom11_reg76858917-77204725_probloss numeric
@attribute 6851_chrom11_reg83733321-85064586_probgain numeric
@attribute 6859_chrom11_reg86480032-87537774_probgain numeric
@attribute 6911_chrom11_reg104063199-105016068_probgain numeric
@attribute 7022_chrom12_reg7894681-7915622_probnorm numeric
@attribute 7213_chrom12_reg51241859-52425218_probloss numeric
@attribute 7317_chrom12_reg72645832-73482351_probloss numeric
@attribute 7345_chrom12_reg80739510-81659894_probloss numeric
@attribute 7347_chrom12_reg80739510-81659894_probgain numeric
@attribute 7754_chrom13_reg94449214-95725796_probnorm numeric
@attribute 8607_chrom16_reg4670009-7442625_probgain numeric
@attribute 8797_chrom16_reg47641974-47668511_probloss numeric
@attribute 8905_chrom16_reg68606309-68648091_probloss numeric
@attribute 8913_chrom16_reg68710277-68751390_probloss numeric
@attribute 8917_chrom16_reg68838368-68874167_probloss numeric
@attribute 9589_chrom17_reg34900309-34925507_probloss numeric
@attribute 9593_chrom17_reg34940330-35067992_probloss numeric
@attribute 9594_chrom17_reg34940330-35067992_probnorm numeric
@attribute 9595_chrom17_reg34940330-35067992_probgain numeric
@attribute 9597_chrom17_reg35076296-35282086_probloss numeric
@attribute 9598_chrom17_reg35076296-35282086_probnorm numeric
@attribute 9601_chrom17_reg35286565-35336158_probloss numeric
@attribute 9602_chrom17_reg35286565-35336158_probnorm numeric
@attribute 9603_chrom17_reg35286565-35336158_probgain numeric
@attribute 9605_chrom17_reg35344057-35385941_probloss numeric
@attribute 9725_chrom17_reg41458670-41494331_probloss numeric
@attribute 9945_chrom17_reg49218134-49331755_probloss numeric
@attribute 10674_chrom18_reg64796820-68375250_probnorm numeric
@attribute 11613_chrom21_reg13660680-14258259_probloss numeric
@attribute 11969_chrom22_reg41221190-41290227_probloss numeric
@attribute 11987_chrom22_reg42652021-43322780_probgain numeric
@attribute 12034_chrom23_reg384298-385792_probnorm numeric
@attribute 12038_chrom23_reg422315-462468_probnorm numeric
@attribute class {HER2+,TN,HR+}

@data
0.979,0.005,0.009,0.006,0.008,0.975,0.016,0.016,0.016,0.976,0.015,0.988,0.98,0.989,0.006,0.004,0.008,0.994,0,0,0.997,0,0.001,0.96,0.002,0.995,0,0,0,0,0.346,0,0,0,0.647,0.976,0.918,0.989,0.975,0.975,0.975,0.022,0.022,0.974,0.004,0.022,0.974,0.022,0.974,0.004,0.022,0.022,0.022,0.96,0,0.824,0,0.765,0.765,HR+
0.979,0.006,1,0,0.009,0,0.971,0.943,0.943,0,0.975,0.023,0.112,0.147,0,1,0,1,0.001,0,0.993,0.005,0.997,0,0.985,0.004,0,0,0,0,0.964,0.038,0.011,0.011,0.022,0.024,0.287,0.025,0.024,0.999,0.002,0,0,0,0.962,0,0,0,0,0.962,0,0.026,0.016,0,0,0.991,0,0.012,0.012,HR+
0.978,0.006,0.007,0.007,0.007,0.985,0.007,0.007,0.007,0.985,0.007,0.988,0.979,0.989,0.006,0.004,0.007,0.004,0.007,0.899,0.098,0.098,0.025,0.012,0.003,0.009,0.021,0.011,0.011,0.011,0.848,0.004,0.004,0.004,0.01,0.998,0.995,1,1,1,0.984,0.023,0.023,0.973,0.004,0.023,0.973,0.023,0.973,0.004,0.023,0.016,0.016,0.947,0.001,0.999,0,0.838,0.838,HR+
0,0.651,0.069,0.001,1,0,0.071,0,0.025,0.969,0,0.984,0.959,0,0.003,0.073,0.011,0.054,0.015,0,1,0.943,1,0.811,0,0.007,0.339,0.001,0.001,0.001,0.984,0.81,0.013,0.013,0.017,0.973,0.038,0.024,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.903,0.973,0.043,0.093,0.004,0.134,0.134,HER2+
0.978,0.009,0.017,0.003,1,0.968,0.026,0.984,0.984,0.973,0.014,0,0,0.384,0.52,0.001,0.97,0.206,0.639,0,1,1,1,0,0.009,0.031,1,0,0,0,0,1,0.035,0.015,0.015,0.008,0,0,1,1,0.102,1,1,0,0,1,0,1,0,0,1,0.025,0.025,0,0.011,0.004,0.131,0.001,0.001,TN
0.975,0.016,0.002,0.053,0.009,0.001,0,0,0.028,0.976,0.015,0.989,0.062,0.445,0.553,0.004,0,0.038,0.021,0,0.33,0.011,0.017,0,0.002,0.012,0.035,0,0,0,0.985,0.003,0.003,0.016,0.014,0.97,0.193,0,0,1,0.011,0,0,0,0,0,0,0,0,0,0.995,0.994,0,0.821,0,0.033,0.009,0.446,0.162,HER2+
0.979,0.006,0.008,0.007,0.008,0.262,0.735,0.735,0.735,0.25,0.018,0.616,0.335,0.989,0.006,0.005,0.001,0.836,0,0.001,1,1,0,0,0.004,0.017,1,0,0,0,0,0.014,0.014,0.014,0.016,0.977,0.011,0.001,0.001,0.001,0.001,1,1,0,0,1,0,1,0,0,1,0.996,0,0,0.982,1,0,0.917,0,HR+
0.933,0.006,0.007,0.006,0.006,0.985,0.006,0.006,0.994,0.976,0.015,0.717,0.078,0.988,0.008,0.005,0.006,0.042,0.019,0.901,1,1,0,0.017,0,1,1,0,0,0,0.859,0.095,0.095,0,0.945,0.973,0.992,0.01,0.01,0.01,0.01,0.056,0.056,0.934,0.009,0.056,0.934,0.056,0.934,0.009,0.056,0.056,0,0.976,0,0.008,0.042,0.931,0.931,HR+
0.966,0.985,0.025,0.003,0.008,0.985,0.007,0.007,0.007,0.93,0.067,0,0,0.989,0.006,0.009,0.004,0.009,0.004,0,1,1,0.067,0.005,0.999,0.006,0,0.843,0.843,0.843,0,0.08,0.08,0.08,0.004,0,0.159,0,0,0.64,0.001,0,0,0.036,0.941,0,0.036,0,0.036,0.941,0,0.014,0,0.873,0,0.023,0.977,0.001,0.001,TN
0.422,0.001,0.232,0.001,0.001,0.858,0.139,0.153,0.331,0.858,0.14,0.325,0.26,0.988,0.008,0.004,0.138,0.882,0,0,1,0.859,0,0.656,0.003,0.444,0.719,0,0,0,0.986,0.012,0.012,0.012,0.019,0.998,0.019,0,0.017,0.017,0.017,0,0,0,0,0.019,0.925,0.019,0.925,0.054,0,0.502,1,0.33,0,1,0,0.848,0.848,HER2+
0.975,0.661,0.009,0.006,0.999,0.985,0.006,0.006,0.006,0.976,0.012,0,0.005,0.701,0.851,0.005,0.006,1,0,0,1,0.163,0.239,0.002,0,0.018,0.02,0.012,0.012,0.012,0.122,0.005,0.005,0.005,0.008,0.97,0.017,0,0.023,0.023,0.023,0,0,0,0,0,0,0,0,0,0,0.009,0.011,0.956,0,0.965,0,0.936,0.936,HER2+
